row_index,WC,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,tensem,focuspast,focuspresent,focusfuture,progm,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
34,406,81.2,0.49,65.52,38.18,6.16,4.19,3.2,0.25,0.49,0.0,0.25,0.0,1.97,4.68,5.42,10.1,1.23,3.45,0.25,1.48,0.74,7.39,0.74,6.65,5.17,1.48,0.99,3.45,7.14,5.17,1.48,0.0,0.49,0.0,3.94,0.74,0.0,0.49,0.0,14.78,3.69,1.23,4.68,3.94,2.46,2.46,2.71,0.49,0.49,0.49,2.46,0.99,0.49,0.25,1.23,5.67,1.23,1.48,2.22,0.74,0.49,6.16,0.74,1.97,2.22,1.23,15.76,5.91,5.91,7.39,1.72,0.99,0.0,0.49,0.49,0.0,6.9,0.49,1.72,3.45,0.74,0.49,49.51,6.4,11.82,0.0,0.0,22.66,8.62,2.22
35,674,674.0,0.89,66.47,41.1,9.5,7.12,4.3,0.0,1.78,0.74,0.3,0.0,2.37,5.04,6.08,8.46,2.08,1.93,0.74,0.59,0.74,7.86,1.48,6.38,3.56,1.04,1.93,1.04,9.5,4.6,3.26,0.59,1.63,0.0,7.72,0.45,0.3,0.15,0.0,14.09,5.34,1.93,3.26,2.52,2.67,1.34,2.82,0.89,0.89,0.3,2.52,1.19,0.3,0.45,0.59,6.23,0.59,1.63,1.63,1.48,1.04,4.6,0.89,1.04,1.19,1.78,9.79,2.23,3.86,6.23,2.37,0.89,0.3,0.74,0.3,0.0,8.46,0.74,1.04,4.75,0.89,1.93,35.76,1.34,8.46,0.0,0.0,17.21,8.75,5.79
36,851,47.28,2.0,62.16,32.2,5.76,3.88,1.06,1.06,1.41,0.24,0.12,0.0,1.88,3.64,4.58,7.99,1.29,1.88,0.59,1.06,0.24,6.46,1.65,4.82,3.76,0.71,8.11,1.53,6.23,4.94,0.59,0.12,0.12,0.24,8.11,0.0,0.12,0.0,0.0,11.75,3.76,1.65,3.41,2.7,2.0,0.82,1.65,0.47,0.71,0.24,1.88,0.24,0.35,0.35,0.82,7.99,3.29,1.65,1.88,1.29,0.82,3.41,0.47,0.59,1.18,1.29,11.99,3.29,4.82,6.82,3.88,2.35,0.35,0.71,0.0,0.0,5.99,0.12,1.06,4.35,0.94,0.59,41.36,1.76,5.99,0.24,0.0,11.63,21.74,5.17
37,744,372.0,1.08,67.47,45.7,9.68,8.2,3.09,0.27,2.55,2.28,0.0,0.0,1.48,4.17,7.12,8.47,1.88,1.48,0.94,1.34,0.4,11.42,4.03,7.39,5.11,0.94,1.61,0.94,7.66,5.38,1.21,0.13,0.4,0.13,10.48,0.27,0.27,0.13,0.27,15.46,5.24,2.02,5.78,4.17,1.48,1.88,2.02,0.94,0.54,0.54,1.48,0.81,0.27,0.27,0.13,5.78,1.34,1.75,2.02,1.75,0.0,4.84,0.4,0.27,2.15,2.15,8.6,2.69,2.96,5.11,1.61,1.48,0.0,0.54,0.67,0.27,6.99,0.13,1.34,4.84,1.08,1.08,30.91,1.75,6.59,0.0,0.0,13.84,8.74,4.03
38,164,164.0,0.0,52.44,31.71,3.66,1.22,0.61,0.0,0.0,0.61,0.0,0.0,2.44,1.22,6.71,4.88,2.44,3.05,1.22,0.0,0.61,9.76,1.22,8.54,1.83,0.0,4.88,1.22,7.32,2.44,4.27,0.0,0.61,0.0,6.71,0.0,0.0,0.0,0.0,12.2,5.49,1.22,3.05,3.66,1.83,1.22,0.0,0.0,0.0,0.0,3.05,1.22,0.61,0.0,1.22,6.1,0.61,0.61,3.66,0.0,3.05,1.22,0.0,0.61,0.0,0.61,5.49,1.22,2.44,1.83,1.22,1.22,0.0,0.0,0.0,0.0,4.27,0.0,0.61,1.22,0.61,1.83,55.49,0.61,14.63,1.22,0.0,30.49,8.54,0.61
39,1372,228.67,0.22,62.54,42.2,8.38,5.83,3.13,0.0,1.31,1.38,0.0,0.0,2.55,3.64,6.34,9.99,2.92,2.99,0.87,1.17,1.53,6.63,1.6,5.03,4.96,1.38,1.09,0.95,8.75,2.92,4.59,0.51,1.24,0.51,7.51,0.58,0.07,0.44,0.15,15.67,4.96,1.6,3.72,3.13,2.84,2.19,2.19,0.58,0.95,0.22,1.82,0.8,0.36,0.44,0.29,5.03,0.87,0.95,1.9,0.58,0.95,4.52,0.58,0.58,1.6,1.97,11.3,3.57,2.77,7.07,1.09,0.36,0.29,0.44,0.22,0.51,7.87,0.29,0.36,5.03,0.29,1.82,30.39,4.81,3.64,0.0,0.0,7.58,14.36,1.02
40,758,94.75,1.06,58.44,31.93,3.83,3.03,2.64,0.13,0.0,0.26,0.0,0.0,0.79,3.03,5.54,8.84,3.3,3.56,0.13,0.26,0.13,6.33,1.06,5.28,3.69,1.32,1.85,2.37,6.2,3.69,1.72,0.66,0.13,0.4,2.37,0.4,0.0,0.0,0.0,13.06,3.83,1.58,2.9,2.9,1.32,3.17,6.33,0.4,0.26,1.45,8.05,0.92,0.26,0.26,6.73,5.28,0.4,1.32,1.85,0.92,1.06,3.3,0.26,0.79,0.66,1.58,9.1,3.3,3.3,3.69,0.66,0.53,0.53,1.32,0.13,0.0,5.54,0.0,0.79,4.09,0.26,0.66,32.85,1.72,6.2,0.13,0.0,13.06,11.74,2.9
41,5,5.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,40.0,0.0,0.0,160.0,80.0,60.0
42,2370,790.0,0.42,69.45,44.3,7.64,3.63,1.69,0.46,0.42,0.89,0.13,0.04,4.01,4.89,5.74,10.38,3.04,2.45,0.51,1.31,0.97,9.03,0.72,8.31,4.94,1.43,1.14,1.52,8.27,5.53,2.11,0.38,0.59,0.42,9.62,0.17,0.38,0.13,0.17,15.86,6.37,1.56,3.38,3.33,1.56,2.41,3.46,0.72,1.05,0.89,2.19,0.76,0.51,0.25,0.68,7.09,2.07,1.56,2.53,1.18,1.01,4.64,0.55,1.05,1.6,1.52,14.73,4.68,5.44,8.9,3.12,0.51,0.25,0.46,0.42,0.04,6.37,0.04,0.38,4.18,0.3,1.48,14.22,0.08,1.35,0.0,0.13,2.91,9.75,2.07
43,493,98.6,2.43,70.59,44.22,7.71,7.1,4.46,0.0,1.22,1.01,0.41,0.0,0.61,3.25,7.1,12.37,3.25,1.62,0.41,1.83,1.22,6.9,1.01,5.88,4.46,0.81,5.68,1.83,9.33,7.1,2.23,0.41,0.2,0.41,5.88,0.2,0.0,0.0,0.0,16.23,3.65,1.62,4.46,3.25,2.84,2.43,2.43,0.81,1.01,0.61,3.04,0.61,1.22,0.41,0.61,4.46,0.61,0.81,2.43,0.81,0.61,5.48,1.01,1.01,1.42,2.43,13.18,5.07,3.65,7.91,1.42,1.42,0.0,0.2,0.41,0.2,7.3,0.0,0.2,4.87,1.01,1.83,41.99,2.43,10.55,0.0,0.0,21.3,7.71,2.84
44,367,122.33,2.72,63.76,41.69,6.54,5.99,3.81,0.0,1.91,0.27,0.0,0.0,0.54,3.0,7.36,9.81,2.72,4.36,0.54,0.54,0.54,9.81,4.09,5.72,4.09,0.82,1.63,0.54,10.9,5.72,4.09,0.0,0.27,1.63,6.81,0.27,0.54,0.27,0.0,12.53,2.72,0.82,4.36,3.27,2.18,2.18,3.81,1.09,1.91,0.27,2.72,1.09,0.0,0.54,1.09,6.27,2.18,1.09,2.18,1.36,0.54,3.54,0.54,0.82,0.82,1.36,10.08,1.91,3.54,6.54,2.45,2.18,1.09,0.27,0.0,0.0,8.45,0.82,0.0,7.08,1.36,0.27,46.87,0.82,14.17,0.0,0.0,29.43,2.45,3.54
45,351,20.65,1.71,51.57,23.93,3.42,2.85,1.42,0.0,0.85,0.57,0.0,0.0,0.57,1.99,3.7,7.69,0.28,0.57,0.85,0.85,0.28,4.56,1.14,3.42,2.56,0.85,5.98,2.28,8.55,5.41,1.99,0.85,0.57,0.28,4.84,0.28,0.28,0.0,0.28,6.55,2.56,0.28,1.71,1.14,2.28,0.57,1.99,1.14,0.0,0.28,3.42,1.42,0.28,0.28,1.42,6.84,2.28,1.71,1.99,0.85,0.57,3.42,1.14,0.57,0.57,1.14,10.54,1.14,5.41,6.55,1.99,2.28,1.14,0.57,0.28,0.0,5.41,0.0,1.42,3.13,0.28,0.57,50.71,3.99,8.83,0.57,0.28,18.8,18.23,19.94
46,376,376.0,1.33,61.44,37.23,5.05,4.52,2.39,0.27,1.06,0.53,0.27,0.0,0.53,3.46,6.12,11.44,0.53,2.39,1.06,0.27,0.53,8.78,2.39,6.38,3.72,1.86,2.93,1.06,7.71,5.32,1.86,0.8,0.53,0.0,7.98,0.53,0.0,0.53,0.0,11.97,3.19,1.6,3.72,2.93,1.33,2.13,3.99,2.39,1.06,0.27,2.39,1.06,0.53,0.53,0.53,6.12,2.66,0.27,1.33,1.86,0.27,6.12,0.27,1.86,1.6,2.66,10.37,2.66,4.79,5.05,0.8,2.66,0.27,0.8,0.53,0.0,7.98,0.27,1.06,5.85,0.8,0.8,25.8,0.0,3.72,0.0,0.27,8.51,13.3,3.99
47,1561,390.25,0.45,67.78,43.24,6.21,3.72,2.24,0.06,0.64,0.64,0.06,0.06,2.5,5.0,5.96,13.26,2.5,1.99,0.51,0.9,1.09,7.37,0.64,6.73,5.0,1.92,1.35,2.24,7.94,3.33,3.07,0.51,0.96,0.32,5.38,0.06,0.13,0.0,0.06,16.34,4.93,1.86,3.65,3.72,3.4,2.24,2.24,0.64,0.51,0.64,2.11,1.02,0.58,0.26,0.32,6.02,0.64,1.73,2.31,1.47,0.9,4.36,0.45,1.15,1.22,1.67,15.76,4.42,4.61,9.1,2.5,0.96,0.51,0.38,0.77,0.13,6.09,0.58,0.32,3.33,0.51,1.79,16.02,0.96,3.4,0.0,0.0,6.73,4.93,1.67
48,2940,735.0,0.27,68.57,40.68,6.43,4.22,2.11,0.24,0.85,0.92,0.03,0.07,2.21,3.03,6.33,11.26,2.28,2.55,0.31,0.95,1.05,8.54,1.12,7.41,4.39,1.63,2.45,2.11,9.83,5.65,3.27,0.61,0.48,0.34,8.06,0.0,0.2,0.07,0.03,15.58,4.73,1.36,3.47,3.16,2.18,2.72,3.74,1.22,1.26,0.65,1.9,0.48,0.92,0.37,0.34,7.52,1.53,2.48,2.45,1.43,1.09,3.61,0.54,0.37,1.5,1.33,11.84,3.67,4.76,5.82,2.86,0.75,0.1,0.17,0.34,0.14,5.24,0.2,0.68,3.16,0.61,1.02,17.82,0.34,1.84,0.03,0.0,3.78,11.84,2.62
49,1975,141.07,0.51,65.92,38.48,6.28,4.71,2.99,0.3,1.16,0.2,0.05,0.0,1.57,2.94,5.72,10.03,3.39,2.08,1.01,1.87,0.86,5.82,1.16,4.66,4.56,1.22,3.49,2.13,10.13,5.92,2.89,0.76,0.2,0.35,6.73,0.25,0.35,0.41,0.2,14.58,4.05,1.62,3.65,4.0,2.99,1.77,2.89,0.51,1.11,0.71,4.3,1.32,2.03,0.41,0.91,8.0,2.03,1.97,2.63,1.92,1.06,4.71,0.91,0.96,1.57,1.22,12.3,3.9,5.27,6.68,2.08,1.16,0.35,0.46,0.1,0.51,6.18,0.1,0.51,4.41,0.86,0.91,26.18,2.28,2.48,0.15,0.05,4.86,16.35,2.08
50,455,113.75,1.98,56.04,29.67,6.15,5.49,3.96,0.0,1.32,0.22,0.0,0.0,0.66,3.74,4.4,4.84,1.1,1.32,1.76,1.1,0.44,5.93,0.44,5.49,3.08,0.44,7.25,0.0,4.18,2.42,0.88,0.0,0.0,0.0,4.84,0.44,0.66,0.44,0.0,7.69,4.84,0.22,1.76,2.64,0.22,1.1,2.42,0.22,0.22,0.44,3.52,0.0,0.0,0.0,3.52,2.86,1.54,0.22,0.88,0.22,0.0,3.74,0.44,0.88,0.44,1.98,9.01,3.08,2.64,5.27,0.88,2.64,0.0,3.08,0.0,0.0,6.37,0.0,1.1,3.74,0.44,1.32,41.76,0.44,6.59,0.22,0.0,14.07,20.44,8.57
51,572,95.33,1.75,65.38,39.69,6.82,4.2,2.97,0.0,0.52,0.7,0.0,0.0,2.62,2.8,6.47,11.19,2.1,1.57,0.87,1.05,0.35,7.52,1.57,5.94,4.2,0.7,6.64,0.52,6.47,3.32,2.62,0.35,0.35,0.52,4.72,0.17,0.17,0.35,0.0,13.29,3.67,0.35,4.2,2.1,3.67,1.4,3.5,1.4,0.87,0.35,3.15,1.22,0.52,0.52,1.05,5.77,1.05,1.22,1.75,1.22,0.87,5.24,0.52,0.7,1.57,2.45,9.62,3.85,2.62,5.94,2.45,1.75,0.52,0.7,0.35,0.35,7.17,0.17,0.52,5.24,0.17,0.87,37.41,0.87,7.87,0.17,0.0,16.61,11.89,3.5
52,197,98.5,0.0,65.48,44.16,6.6,5.58,4.06,0.0,1.02,0.51,0.0,0.0,1.02,3.55,7.61,11.17,0.51,2.03,0.51,1.52,1.52,10.15,5.08,5.08,3.05,2.54,4.06,1.52,9.14,6.09,0.51,0.0,0.51,0.0,5.08,0.51,1.52,0.0,1.02,12.18,5.58,0.51,6.09,5.08,1.02,0.51,3.55,3.05,0.0,0.51,4.57,2.03,1.52,1.02,1.02,4.57,1.52,0.51,1.52,1.02,0.0,4.57,0.0,1.02,2.54,1.02,11.17,3.55,5.58,5.08,1.52,0.51,0.51,0.0,0.0,0.0,8.12,0.51,0.0,5.58,2.54,1.02,56.35,3.05,13.71,0.0,0.0,29.44,10.15,19.29
53,516,172.0,0.19,66.86,39.92,5.04,3.68,2.52,0.39,0.78,0.0,0.0,0.0,1.36,2.52,7.36,11.63,3.29,3.1,1.36,0.39,0.97,6.59,1.94,4.65,3.29,0.78,1.55,1.94,10.66,7.75,2.52,1.16,0.0,0.58,4.46,0.0,0.19,0.19,0.19,17.44,4.07,1.74,4.26,3.49,2.52,3.29,3.49,0.58,0.58,0.78,4.46,0.39,2.33,0.19,1.74,6.2,0.97,1.16,1.94,1.55,1.16,3.68,0.39,1.74,0.78,0.78,13.76,4.07,3.88,6.78,0.78,2.71,0.0,0.0,0.19,0.0,6.78,0.0,0.97,4.65,0.39,0.78,25.97,2.91,6.2,0.0,0.0,13.18,3.68,6.01
54,456,456.0,0.22,65.57,39.47,8.55,7.89,5.48,0.0,2.19,0.22,0.0,0.0,0.66,3.95,4.82,10.31,0.88,1.32,2.19,1.54,1.1,5.7,1.1,4.61,3.95,0.88,3.51,1.1,10.96,7.24,2.19,0.44,0.66,1.1,5.7,0.0,0.22,0.0,0.0,10.53,2.85,0.44,2.85,1.97,2.63,1.54,5.92,0.88,1.97,0.66,6.8,1.54,0.44,0.88,4.17,7.24,1.32,1.54,1.97,2.85,1.1,4.61,1.1,1.32,0.88,1.32,12.72,4.17,3.95,8.77,1.1,1.75,0.44,0.22,0.0,0.0,9.43,0.66,1.1,6.58,0.88,1.97,45.61,0.0,10.75,0.0,0.0,22.59,12.28,7.24
55,183,16.64,4.92,69.4,43.17,10.93,9.29,6.01,0.55,1.09,1.64,0.0,0.0,1.64,1.09,4.92,7.1,3.83,3.28,1.09,2.19,0.0,10.93,1.64,9.29,2.73,0.55,7.65,1.09,6.01,3.83,2.19,0.0,0.55,0.0,6.56,0.55,0.0,0.0,0.0,15.85,7.1,0.0,3.28,2.19,1.64,2.19,3.83,1.64,0.55,1.64,3.28,1.09,1.64,0.0,0.0,4.92,2.73,0.0,2.19,0.0,0.0,6.56,1.09,0.0,1.09,4.92,6.01,3.83,3.83,1.64,1.09,1.09,0.0,1.09,0.0,0.55,6.56,0.0,0.0,6.01,1.09,0.55,49.73,7.1,9.84,0.0,0.0,21.86,10.93,3.28
56,345,57.5,1.74,62.03,36.52,6.67,4.35,2.61,0.0,1.45,0.29,0.0,0.0,2.32,2.61,4.06,9.57,2.03,3.19,0.0,1.45,1.16,7.54,1.45,6.09,6.67,1.16,1.16,4.35,10.72,3.77,5.51,2.61,0.29,0.87,3.77,0.0,0.0,0.0,0.0,14.49,3.48,2.03,3.48,4.93,2.03,3.48,1.74,0.58,0.58,0.0,4.64,0.29,2.61,0.29,1.74,7.25,0.87,2.32,2.32,0.87,1.74,4.64,0.58,0.58,1.74,1.74,13.62,4.93,3.77,7.54,0.87,0.58,0.29,0.29,0.29,0.29,4.64,0.0,0.58,3.48,1.45,0.0,36.23,2.32,6.96,0.0,0.0,15.36,11.59,3.48
57,1522,89.53,0.07,66.1,43.3,5.52,3.61,3.15,0.07,0.13,0.2,0.07,0.0,1.91,4.27,4.2,12.16,3.42,1.71,0.92,1.51,0.39,10.71,2.1,8.61,4.6,0.59,1.38,2.1,7.56,4.4,2.1,0.46,0.2,0.13,3.68,0.13,0.07,0.07,0.2,13.73,5.98,1.18,1.71,1.91,2.17,2.43,3.48,1.05,0.59,0.26,2.96,0.53,0.53,0.13,1.84,4.47,0.72,1.12,1.18,1.12,0.66,7.49,0.72,1.05,1.84,3.88,14.45,4.4,5.32,9.07,1.25,2.5,0.59,0.72,0.0,0.0,7.62,0.13,0.46,5.72,0.46,1.84,18.27,4.6,3.15,0.0,0.0,6.31,4.2,1.31
58,568,189.33,0.0,62.85,40.49,9.33,7.92,4.93,0.53,0.88,1.23,0.0,0.35,1.41,3.52,5.11,10.04,1.76,1.06,1.06,1.06,0.7,7.75,1.23,6.51,3.7,1.23,1.41,1.23,8.63,5.81,1.94,0.7,0.0,0.35,6.51,0.18,0.18,0.18,0.0,12.68,5.11,0.88,3.35,3.17,1.94,1.41,4.05,1.06,1.06,0.18,2.29,0.53,0.53,0.35,0.88,6.51,1.41,1.06,1.41,2.11,0.7,5.46,0.35,0.53,1.58,3.17,12.32,5.28,3.35,6.69,2.11,0.88,0.53,0.7,0.18,0.18,8.27,0.0,0.35,7.04,0.53,0.53,45.6,7.92,8.8,0.0,0.0,18.31,10.56,7.04
