WC,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,tensem,focuspast,focuspresent,focusfuture,progm,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,row_index
16100,104.55,0.5,61.63,36.36,4.79,2.95,1.78,0.45,0.36,0.23,0.12,0.01,1.84,3.65,4.69,9.5,2.34,1.84,0.88,1.57,0.53,8.04,0.82,7.22,4.58,0.91,5.42,1.72,5.83,3.66,1.49,0.19,0.23,0.14,5.65,0.48,0.42,0.26,0.15,11.91,3.55,1.3,2.37,2.43,2.34,1.84,2.63,1.02,0.61,0.31,1.8,0.72,0.3,0.11,0.72,5.98,1.71,1.32,1.98,0.93,0.75,3.89,0.43,0.53,1.22,1.77,12.38,4.37,4.99,6.56,2.17,1.24,0.25,0.45,0.16,0.12,5.17,0.12,0.61,3.4,0.32,1.01,25.25,1.25,1.53,0.0,0.02,3.11,19.35,2.22,0
7272,346.29,0.33,60.27,39.14,6.22,3.7,1.87,0.43,1.11,0.26,0.01,0.01,2.52,3.2,4.55,10.82,2.28,1.6,0.45,1.2,0.78,9.27,1.46,7.81,3.89,0.74,2.12,1.77,7.62,5.38,1.22,0.18,0.1,0.21,6.38,0.25,0.61,0.15,0.14,13.31,4.47,1.17,2.3,2.39,3.01,1.58,2.31,0.92,0.77,0.33,1.84,0.33,0.96,0.07,0.5,6.67,2.02,1.36,1.77,1.72,0.56,4.79,0.52,0.51,1.11,2.74,11.58,3.88,4.24,6.67,1.61,2.15,0.07,0.28,0.17,0.11,7.03,0.07,0.22,5.69,0.48,0.94,29.88,0.43,1.71,0.04,0.55,3.47,23.69,2.23,1
2824,941.33,0.18,69.83,45.54,7.58,6.23,3.65,0.25,1.38,0.85,0.11,0.0,1.35,2.94,5.7,12.36,2.44,2.3,1.2,1.35,0.78,10.52,2.27,8.25,4.39,0.99,3.51,1.66,8.57,6.3,1.63,0.28,0.11,0.14,8.39,0.67,0.35,0.53,0.07,14.59,5.38,1.03,3.05,2.37,2.87,2.23,3.65,1.38,0.92,0.28,3.29,0.78,0.25,0.74,1.7,6.44,1.88,1.17,1.45,2.09,0.74,6.52,0.74,1.35,1.42,3.12,11.69,3.33,3.36,7.37,1.31,1.42,0.14,0.85,0.42,0.07,9.56,0.0,0.64,7.26,1.13,1.52,20.79,0.21,5.03,0.0,0.0,10.06,5.49,7.12,2
3123,24.59,22.86,21.13,10.63,1.63,1.22,0.29,0.06,0.67,0.16,0.03,0.0,0.42,0.99,1.28,2.72,0.61,0.58,0.48,0.22,0.29,2.27,0.48,1.79,0.99,0.29,2.18,0.45,3.65,2.75,0.58,0.0,0.03,0.03,2.37,0.1,0.19,0.03,0.06,2.88,0.8,0.19,0.93,0.67,0.48,0.54,0.86,0.26,0.22,0.1,1.57,0.45,0.26,0.19,0.8,1.47,0.58,0.19,0.32,0.26,0.16,0.9,0.06,0.1,0.42,0.35,2.95,0.83,1.09,1.44,0.32,0.26,0.03,0.35,0.06,0.0,2.82,0.13,0.96,1.15,0.16,0.48,66.44,3.01,8.04,0.03,1.7,14.6,39.07,3.2,3
1114,278.5,0.27,57.72,33.12,3.77,2.33,1.89,0.09,0.09,0.09,0.18,0.0,1.44,3.32,5.39,9.07,2.42,2.24,0.63,0.9,0.27,7.18,1.53,5.66,4.22,0.81,1.97,1.44,6.37,3.41,1.97,0.18,0.09,0.27,3.77,0.27,0.54,0.27,0.45,11.76,3.59,0.99,3.95,2.6,1.97,2.06,4.4,1.44,0.27,1.26,5.12,0.63,0.27,0.72,3.5,4.85,1.53,0.9,0.9,1.26,0.81,4.04,0.9,0.45,1.08,1.8,10.86,3.59,4.04,5.39,1.35,2.87,0.72,1.26,0.0,0.0,6.46,0.0,1.08,4.76,0.18,0.72,42.01,2.6,8.08,0.0,0.27,16.43,14.63,1.17,4
1252,417.33,1.12,51.6,24.36,1.28,0.72,0.64,0.0,0.08,0.0,0.0,0.0,0.56,1.76,2.32,7.35,1.92,1.84,4.47,0.48,0.08,4.31,0.16,4.15,2.4,0.4,4.55,2.32,7.67,4.95,2.32,0.32,0.08,0.4,2.8,0.16,0.24,0.16,0.0,10.46,2.96,1.36,1.36,2.16,1.84,1.92,3.59,0.64,0.08,1.44,4.31,3.35,0.88,0.08,0.48,6.79,0.72,2.64,2.48,2.0,0.4,2.08,0.16,0.16,0.96,0.8,11.9,3.12,4.55,5.67,1.6,0.88,0.16,0.4,0.0,0.0,3.19,0.0,0.4,2.48,0.0,0.48,19.81,0.4,1.52,0.0,0.0,3.19,14.7,4.55,5
408,68.0,5.64,48.53,28.19,3.43,1.96,1.47,0.0,0.49,0.0,0.0,0.0,1.47,2.45,3.92,8.33,1.96,2.7,1.23,0.0,0.98,4.9,1.47,3.43,3.92,0.74,3.92,1.72,5.88,2.94,2.45,0.49,0.74,0.0,3.92,0.0,0.25,0.0,0.0,10.05,2.21,0.98,1.23,2.94,2.21,2.45,4.41,1.47,1.96,0.0,0.98,0.0,0.25,0.0,0.74,4.66,0.49,0.74,0.98,0.49,1.96,3.43,0.98,0.49,1.23,0.98,9.31,1.96,3.19,4.66,0.74,0.74,0.0,0.0,0.49,0.25,5.64,0.98,0.49,2.45,0.98,1.23,44.61,5.15,11.27,0.25,0.0,20.59,7.35,1.47,6
2808,234.0,0.68,63.25,38.46,4.42,2.71,1.78,0.21,0.5,0.21,0.0,0.0,1.71,3.88,4.49,11.22,3.31,1.71,0.61,1.46,0.39,8.23,1.57,6.66,4.31,1.1,2.81,1.99,7.73,5.38,1.42,0.25,0.07,0.36,4.56,0.21,0.25,0.04,0.04,13.43,4.52,1.46,2.24,3.13,2.64,1.78,3.42,1.03,1.1,0.43,2.35,0.68,0.53,0.04,1.14,4.81,0.75,1.28,1.42,1.67,0.53,4.95,0.93,0.64,1.46,2.07,12.96,4.06,4.95,7.16,2.17,2.03,0.5,0.28,0.21,0.21,6.27,0.07,0.53,4.74,0.57,0.89,23.43,0.5,3.17,0.0,0.0,6.3,13.46,4.88,7
368,40.89,0.82,49.18,29.35,3.53,2.45,1.09,0.27,0.54,0.54,0.0,0.0,1.09,2.45,4.62,7.34,1.9,1.09,1.63,2.17,0.27,4.89,0.82,4.08,2.72,0.0,1.36,1.09,4.08,3.26,0.54,0.0,0.54,0.0,2.72,0.0,0.0,0.0,0.0,10.05,4.08,0.82,2.17,1.63,1.63,1.09,1.36,0.54,0.54,0.0,1.36,0.27,0.0,0.0,1.09,5.16,0.54,0.82,2.72,1.09,0.27,4.62,1.63,1.36,0.27,1.63,14.13,2.99,7.61,7.07,1.63,0.82,1.09,0.82,0.27,0.54,4.62,0.0,1.09,2.99,1.09,0.27,69.57,1.63,16.3,0.54,0.0,33.15,17.93,10.87,8
2819,148.37,1.28,59.81,36.82,4.01,2.55,1.49,0.46,0.39,0.07,0.07,0.07,1.45,3.55,4.54,10.61,3.05,1.6,0.92,1.14,0.57,8.09,0.89,7.2,4.51,1.17,5.18,2.02,7.31,4.93,1.49,0.14,0.18,0.25,4.4,0.07,0.25,0.07,0.04,12.77,4.19,1.31,2.52,2.77,2.63,1.42,2.84,0.78,0.64,0.28,1.92,0.32,0.28,0.11,1.28,5.57,1.74,1.53,0.85,1.81,0.53,4.93,0.67,0.78,1.35,2.27,11.25,3.48,4.97,6.39,1.45,1.56,0.39,0.21,0.11,0.32,5.71,0.07,0.35,4.61,0.18,0.71,30.15,0.92,4.22,0.0,0.0,8.73,16.28,6.95,9
587,29.35,0.85,73.59,48.38,8.35,6.47,4.09,0.17,2.04,0.17,0.0,0.0,1.87,4.77,7.16,12.61,1.87,4.26,1.02,1.19,2.39,8.35,3.07,5.28,6.81,2.21,5.11,1.53,7.5,4.09,2.39,0.34,0.51,0.17,7.16,0.34,0.34,0.17,0.0,14.14,4.43,0.85,5.45,3.07,1.7,1.7,5.62,0.51,2.56,0.51,2.21,0.68,0.0,0.0,1.53,4.43,0.51,1.19,1.36,0.85,1.02,5.11,1.19,0.85,1.19,1.87,11.58,3.75,5.45,6.13,1.7,1.19,0.34,0.68,0.17,0.0,7.5,0.0,0.51,4.43,0.68,1.36,38.33,3.58,8.52,0.0,0.0,17.89,8.35,2.39,10
1389,347.25,0.5,60.19,35.28,2.45,1.44,0.94,0.0,0.43,0.07,0.0,0.0,1.01,3.67,6.34,10.73,1.66,2.09,0.79,0.72,0.5,8.06,2.02,6.05,4.75,1.15,3.46,1.58,7.13,3.96,2.23,0.65,0.5,0.43,4.39,0.43,0.22,0.07,0.36,13.25,4.61,1.15,3.74,2.81,2.23,1.73,3.31,1.44,0.94,0.5,1.94,0.65,0.65,0.29,0.72,5.11,0.5,1.73,1.8,1.44,0.79,4.03,0.72,0.65,1.37,1.37,12.38,3.82,4.18,6.55,1.44,1.44,0.29,1.51,0.14,0.07,5.62,0.14,0.72,3.53,0.65,1.01,24.33,0.43,4.18,0.0,0.0,8.78,10.94,5.26,11
3381,153.68,0.56,63.41,40.46,6.54,4.5,2.43,0.21,0.5,1.27,0.09,0.0,2.04,3.55,5.56,8.61,3.02,2.4,0.92,1.57,0.95,9.05,0.74,8.31,3.76,0.56,1.66,1.69,5.92,3.28,2.04,0.21,0.44,0.44,7.42,0.92,0.5,0.3,0.27,11.48,3.58,1.21,2.43,1.77,1.57,2.48,3.31,0.95,1.15,0.53,1.89,0.68,0.68,0.12,0.71,6.39,1.63,1.21,3.19,0.53,0.62,3.31,0.38,0.71,0.71,1.6,11.74,4.23,5.41,4.88,2.28,2.07,0.41,0.71,0.06,0.12,4.76,0.09,0.68,2.6,0.53,1.39,15.26,0.95,1.6,0.09,0.0,3.31,9.32,0.03,12
1969,218.78,0.71,58.46,33.47,3.86,2.13,1.37,0.0,0.71,0.0,0.05,0.0,1.73,2.79,3.86,10.16,2.39,1.37,1.02,0.71,0.36,7.97,0.96,7.01,2.95,0.51,5.03,1.12,8.23,5.69,1.88,0.41,0.41,0.51,3.4,0.15,0.3,0.05,0.1,10.61,4.82,0.71,2.29,2.44,2.44,0.66,4.37,1.22,0.61,0.61,4.32,1.22,0.56,0.15,2.49,4.52,0.66,1.12,0.86,1.83,0.56,4.62,0.71,1.02,0.61,2.39,11.68,3.86,3.15,5.84,1.27,2.59,0.51,0.61,0.1,0.3,6.65,0.05,0.41,5.64,0.05,0.36,29.61,1.68,4.16,0.1,0.96,8.68,14.02,5.49,13
432,144.0,0.93,52.55,23.61,1.62,0.46,0.46,0.0,0.0,0.0,0.0,0.0,1.16,1.62,2.78,7.41,2.31,1.85,0.93,0.69,0.0,6.02,0.0,6.02,2.31,0.0,0.93,0.69,8.1,5.56,1.85,0.0,0.0,0.23,3.94,0.46,0.0,0.23,0.0,13.89,3.24,3.24,2.08,1.16,2.31,2.55,3.94,0.46,0.23,0.69,5.79,3.01,1.85,0.0,1.62,6.71,0.93,3.24,1.85,1.39,0.23,3.01,0.0,0.69,0.69,1.62,9.49,3.7,2.55,5.09,1.62,1.16,1.85,0.46,0.0,0.0,4.17,0.0,0.23,3.24,0.0,0.69,10.88,0.46,0.46,0.0,0.0,2.31,7.64,0.69,14
131,21.83,2.29,55.73,22.9,3.82,1.53,1.53,0.0,0.0,0.0,0.0,0.0,2.29,3.05,1.53,3.05,0.76,0.0,0.76,2.29,0.0,7.63,0.76,6.87,3.82,0.0,9.16,2.29,5.34,4.58,0.0,0.0,0.0,0.0,4.58,0.76,0.76,0.76,0.0,3.05,0.76,0.0,0.76,2.29,0.0,0.0,6.87,2.29,0.0,0.76,3.82,0.76,0.0,0.76,3.05,6.87,3.82,0.0,3.05,0.0,0.0,3.05,0.76,1.53,0.76,0.0,10.69,5.34,6.11,5.34,3.05,1.53,0.0,0.0,0.0,0.0,4.58,0.0,2.29,2.29,0.0,0.0,58.02,3.05,11.45,0.76,0.0,27.48,15.27,1.53,15
1482,370.5,0.94,56.21,33.54,3.1,1.89,1.48,0.0,0.2,0.13,0.07,0.0,1.21,2.43,5.2,8.37,1.82,2.09,1.69,0.81,0.67,8.91,1.69,7.22,3.37,1.15,2.97,2.02,5.6,3.64,1.21,0.0,0.13,0.2,3.1,0.4,0.07,0.2,0.13,11.81,5.26,1.08,2.77,2.9,1.48,1.75,3.1,1.35,0.27,0.4,3.64,0.81,1.01,0.07,1.89,4.18,0.27,1.15,1.42,0.94,1.01,5.4,0.34,0.81,0.61,3.64,11.94,3.37,3.71,6.88,0.88,1.69,0.4,0.81,0.13,0.27,7.89,0.07,0.81,6.28,0.67,0.61,49.87,1.35,10.73,0.07,0.0,21.86,15.86,5.4,16
122,122.0,0.0,79.51,61.48,15.57,13.93,8.2,0.0,4.1,0.82,0.82,0.0,1.64,5.74,7.38,13.11,3.28,2.46,0.0,0.82,2.46,11.48,5.74,5.74,4.92,6.56,1.64,0.0,11.48,3.28,3.28,0.0,0.0,0.82,10.66,0.0,0.0,0.0,0.0,14.75,7.38,4.1,3.28,4.92,1.64,0.0,4.92,0.82,3.28,0.0,1.64,0.82,0.0,0.82,0.0,3.28,0.82,2.46,1.64,0.0,0.0,4.1,1.64,0.0,0.0,2.46,10.66,2.46,3.28,5.74,2.46,1.64,0.0,0.0,0.0,0.82,13.11,0.0,0.82,9.84,4.92,3.28,71.31,2.46,19.67,0.0,0.0,44.26,4.92,5.74,17
243,121.5,5.76,31.69,14.4,4.53,3.29,1.65,0.41,1.23,0.0,0.0,0.0,1.23,1.23,1.65,3.29,0.82,1.23,0.41,0.41,0.0,2.06,0.0,2.06,2.06,0.0,8.23,0.82,4.53,3.29,0.82,0.0,0.82,0.0,4.12,0.0,0.0,0.0,0.0,3.29,0.41,0.0,0.82,0.41,0.82,1.65,1.65,0.41,0.0,0.0,1.23,0.0,0.0,0.41,0.82,3.29,1.23,0.41,0.82,0.0,0.82,0.0,0.0,0.0,0.0,0.0,4.94,2.06,2.88,2.06,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,1.23,0.41,0.41,0.82,90.12,6.17,21.4,0.0,0.0,44.44,18.11,23.46,18
142,35.5,4.23,57.04,27.46,3.52,2.82,2.11,0.0,0.7,0.0,0.0,0.0,0.7,2.11,4.23,9.15,0.0,2.11,1.41,0.0,0.7,4.93,0.7,4.23,2.11,0.7,5.63,0.7,11.97,7.04,4.23,0.0,0.7,0.0,2.82,0.0,0.0,0.0,0.0,9.15,5.63,0.0,1.41,0.7,2.11,0.7,2.82,0.7,0.0,1.41,4.23,0.7,2.11,0.7,2.11,5.63,0.7,0.0,2.11,1.41,1.41,4.93,0.0,1.41,0.7,2.82,9.15,2.82,2.11,4.23,0.7,3.52,0.0,0.0,0.0,0.0,6.34,0.7,1.41,4.93,0.0,0.0,115.49,3.52,33.8,0.0,0.0,66.2,11.97,21.83,19
299,299.0,0.33,63.21,38.13,8.03,7.02,4.35,0.33,1.34,1.0,0.0,0.0,1.0,3.68,3.34,11.37,2.68,1.0,0.67,0.67,0.0,7.69,2.68,5.02,4.35,0.0,1.34,1.0,4.35,3.01,0.67,0.0,0.33,0.0,6.69,0.0,0.33,0.0,0.0,9.03,3.34,1.34,1.67,0.0,2.34,1.0,4.68,1.0,1.67,0.67,4.01,1.34,0.67,0.33,2.01,5.69,2.01,1.0,1.34,1.0,0.33,4.68,1.0,1.0,1.0,1.67,16.05,5.35,4.68,10.03,3.34,0.33,0.0,0.33,0.33,0.33,7.02,0.0,0.0,5.69,1.0,1.0,45.48,0.0,13.04,0.33,0.0,28.09,4.01,1.67,20
179,179.0,0.56,67.6,35.2,4.47,2.79,2.23,0.0,0.56,0.0,0.0,0.0,1.68,1.12,4.47,13.41,0.0,2.23,0.0,0.0,0.56,9.5,5.59,3.91,1.68,0.56,2.79,1.68,11.73,7.26,2.79,0.56,0.0,0.0,2.23,0.0,0.56,0.56,0.0,7.82,3.91,0.0,2.23,3.35,2.23,0.56,7.26,1.68,0.56,1.12,10.06,6.15,1.12,0.0,2.79,6.7,0.0,0.0,2.23,4.47,0.0,4.47,0.56,1.12,0.56,2.23,8.94,2.79,2.79,4.47,0.0,1.12,3.91,1.68,0.0,0.56,10.61,0.0,1.12,8.94,0.56,0.0,74.86,1.12,18.99,0.0,0.0,41.34,13.41,25.7,21
1043,149.0,0.29,67.59,40.94,4.12,2.97,1.92,0.19,0.1,0.67,0.1,0.0,1.15,3.07,5.66,12.94,3.74,2.88,0.19,1.25,1.05,8.34,1.34,7.0,3.74,1.44,2.49,2.3,9.01,4.79,3.45,0.67,0.48,0.29,6.71,0.19,0.19,0.0,0.1,17.83,5.18,1.05,4.22,5.85,2.49,3.07,3.74,1.15,1.44,0.58,2.3,0.86,0.38,0.19,0.77,6.42,1.53,2.21,1.44,1.44,0.77,5.85,0.86,0.86,2.3,2.01,10.74,3.16,3.74,6.14,2.68,1.53,0.58,0.38,0.1,0.58,6.23,0.0,0.29,4.03,0.58,1.53,22.53,1.73,5.27,0.0,0.0,10.74,4.79,0.67,22
1240,413.33,0.81,65.4,42.98,8.87,7.34,4.92,0.4,1.05,0.89,0.08,0.0,1.53,4.35,6.05,11.37,2.42,2.18,0.65,1.37,1.13,6.13,1.69,4.44,5.08,1.94,1.53,1.45,8.55,3.47,3.47,0.81,0.81,0.4,6.94,0.16,0.4,0.16,0.16,11.61,3.87,1.53,2.82,3.31,1.45,1.37,3.47,0.97,1.45,0.24,2.5,0.89,0.48,0.48,0.73,6.29,1.45,1.05,2.34,1.05,0.65,3.79,0.56,0.65,1.53,1.21,12.1,3.79,4.76,7.1,2.66,1.37,0.48,0.16,0.16,0.48,7.66,0.65,1.05,4.11,1.05,1.61,23.23,0.24,4.03,0.0,0.24,8.47,10.24,1.94,23
265,265.0,0.38,64.15,44.91,8.3,6.04,4.15,0.38,1.13,0.38,0.0,0.0,2.26,1.13,4.53,8.68,1.51,1.89,0.38,1.13,2.64,16.6,9.06,7.55,1.51,1.13,1.13,1.13,9.43,6.04,3.02,0.0,0.75,0.0,7.55,0.0,0.0,0.0,0.0,12.83,4.91,1.13,2.64,3.4,1.89,1.13,3.4,0.38,1.13,0.0,3.77,1.89,0.0,0.0,1.89,7.17,1.51,1.13,3.77,1.89,0.38,3.02,0.0,0.38,0.0,2.64,5.66,1.51,1.89,1.89,1.89,1.13,1.13,0.38,0.0,0.0,13.21,0.0,0.38,11.32,6.42,0.38,55.85,1.13,13.58,0.0,0.0,29.43,11.7,3.02,24
