WC,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,tensem,focuspast,focuspresent,focusfuture,progm,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji,row_index
903,129.0,2.1,58.36,35.66,8.19,5.98,3.32,0.0,1.77,0.55,0.22,0.11,2.21,3.99,4.76,8.31,1.99,1.44,0.66,0.44,0.55,6.76,1.33,5.43,2.99,0.78,2.1,0.78,9.19,5.2,2.66,0.44,1.22,0.0,7.31,0.44,0.44,0.11,0.0,11.74,4.1,1.66,2.55,1.88,2.55,1.11,2.44,0.66,0.78,0.33,2.1,1.0,0.22,0.33,0.55,5.43,0.89,1.33,1.22,1.44,0.78,3.43,0.66,0.78,0.89,1.33,7.86,1.88,2.99,5.09,2.1,1.11,0.22,0.55,0.22,0.0,6.98,0.66,0.89,3.99,0.78,1.44,33.67,1.88,7.64,0.0,0.33,14.95,8.86,4.87,35
1549,57.37,1.23,64.3,35.38,5.23,3.36,0.9,1.03,1.16,0.19,0.06,0.0,1.87,4.0,5.04,8.52,1.68,1.61,0.9,1.29,0.45,7.55,1.23,6.33,4.0,0.71,6.46,1.55,6.39,4.65,0.84,0.13,0.13,0.13,8.2,0.19,0.58,0.0,0.0,12.65,3.74,1.55,3.23,2.65,2.39,0.9,2.32,0.71,0.84,0.13,1.87,0.26,0.32,0.32,0.9,7.94,3.68,1.81,1.42,1.36,0.71,4.33,0.65,0.71,1.74,1.29,13.88,4.45,5.68,8.39,3.29,2.39,0.19,0.58,0.13,0.06,4.91,0.13,0.58,3.49,0.65,0.71,30.92,1.74,4.13,0.13,0.0,8.2,16.72,5.49,36
744,372.0,1.08,67.47,45.7,9.68,8.2,3.09,0.27,2.55,2.28,0.0,0.0,1.48,4.17,7.12,8.47,1.88,1.48,0.94,1.34,0.4,11.42,4.03,7.39,5.11,0.94,1.61,0.94,7.66,5.38,1.21,0.13,0.4,0.13,10.48,0.27,0.27,0.13,0.27,15.46,5.24,2.02,5.78,4.17,1.48,1.88,2.02,0.94,0.54,0.54,1.48,0.81,0.27,0.27,0.13,5.78,1.34,1.75,2.02,1.75,0.0,4.84,0.4,0.27,2.15,2.15,8.6,2.69,2.96,5.11,1.61,1.48,0.0,0.54,0.67,0.27,6.99,0.13,1.34,4.84,1.08,1.08,31.45,1.75,6.59,0.0,0.0,14.11,9.01,4.03,37
270,135.0,4.07,48.52,28.89,2.22,0.74,0.37,0.0,0.0,0.37,0.0,0.0,1.48,0.74,5.56,5.56,1.85,2.59,1.85,0.74,0.37,8.89,0.74,8.15,2.59,0.0,4.07,1.11,7.04,2.22,4.44,0.0,0.74,1.11,4.07,0.0,0.0,0.0,0.0,9.26,4.07,1.11,1.85,2.59,1.48,0.74,1.48,0.74,0.0,0.74,2.96,1.48,0.37,0.0,1.11,4.81,0.37,0.37,2.96,0.0,2.59,1.85,0.0,0.37,0.37,1.11,7.04,1.85,2.59,3.33,0.74,1.11,0.0,0.0,0.0,0.0,4.07,0.37,0.37,1.48,0.37,1.48,42.59,0.74,10.74,0.74,0.0,22.96,7.41,0.37,38
1737,289.5,0.17,59.82,39.78,7.54,5.35,2.99,0.06,1.21,1.09,0.0,0.0,2.19,3.45,5.41,10.07,2.94,2.65,0.86,1.09,1.38,6.39,1.78,4.61,4.78,1.15,1.55,1.09,8.23,2.99,4.15,0.46,1.09,0.4,6.91,0.58,0.12,0.35,0.12,14.39,4.38,1.61,3.11,2.88,2.59,2.13,2.13,0.58,0.81,0.17,1.73,0.69,0.35,0.4,0.4,5.01,1.09,0.92,1.67,0.69,0.81,4.09,0.52,0.58,1.44,1.73,10.94,3.34,2.88,6.56,1.04,0.35,0.29,0.4,0.4,0.4,7.6,0.29,0.29,4.84,0.29,1.9,30.86,3.97,3.45,0.0,0.0,7.31,16.12,0.98,39
1112,111.2,0.9,56.03,30.76,3.69,2.79,2.25,0.09,0.27,0.18,0.0,0.0,0.9,2.7,5.13,8.9,3.24,2.7,0.36,0.45,0.18,5.67,0.9,4.77,3.69,1.17,4.05,2.25,6.38,4.41,1.35,0.45,0.09,0.27,2.43,0.27,0.09,0.0,0.0,11.42,2.79,1.17,2.52,2.52,1.53,2.97,5.04,0.54,0.36,0.99,5.85,0.63,0.18,0.18,4.86,5.04,0.54,1.26,1.53,1.17,0.9,3.06,0.36,0.63,0.9,1.17,8.9,3.06,3.15,4.05,0.81,0.63,0.36,0.9,0.09,0.0,4.5,0.0,0.72,3.42,0.27,0.45,39.03,3.24,5.67,0.09,0.0,11.96,18.08,3.42,40
108,21.6,5.56,31.48,14.81,1.85,0.93,0.0,0.0,0.0,0.0,0.0,0.93,0.93,1.85,1.85,3.7,0.0,0.93,0.93,0.93,0.0,3.7,0.93,2.78,3.7,0.0,8.33,0.93,0.93,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.93,0.0,4.63,0.0,0.0,0.93,0.0,2.78,0.93,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,1.85,2.78,0.93,0.0,0.93,0.0,0.93,0.93,0.0,0.0,0.93,0.0,2.78,0.93,2.78,1.85,0.93,0.93,0.93,0.0,0.0,0.0,1.85,0.0,0.93,0.93,0.0,0.0,125.93,6.48,29.63,0.0,0.0,62.04,27.78,64.81,41
16994,265.53,0.92,60.54,37.45,4.86,2.51,1.42,0.44,0.18,0.33,0.14,0.01,2.35,4.07,4.92,9.2,2.73,1.98,0.97,1.44,0.73,8.01,0.56,7.45,4.4,0.82,2.15,1.71,5.78,3.97,1.28,0.19,0.18,0.17,6.14,0.23,0.31,0.12,0.08,12.45,3.87,1.38,2.39,2.67,2.16,1.92,3.1,1.15,0.9,0.54,1.74,0.6,0.45,0.11,0.64,6.11,1.47,1.62,2.38,0.88,0.68,3.81,0.67,0.78,1.14,1.22,13.3,3.99,5.94,6.84,2.28,1.08,0.29,0.62,0.32,0.13,4.94,0.04,0.28,3.26,0.45,1.25,16.58,0.54,0.55,0.02,0.11,1.08,14.29,2.04,42
2200,169.23,2.68,64.68,40.41,7.45,5.64,3.0,1.5,0.64,0.23,0.23,0.05,1.82,3.32,5.09,9.0,3.0,1.27,0.77,1.59,1.09,8.77,0.55,8.23,4.36,0.59,3.41,2.0,7.32,4.95,1.5,0.32,0.09,0.32,6.95,0.23,0.45,0.0,0.0,12.95,3.91,1.32,2.95,2.91,2.05,1.59,2.55,0.73,1.14,0.41,1.5,0.32,0.59,0.14,0.36,8.09,2.86,2.59,2.59,1.23,0.64,5.91,0.82,0.77,2.09,2.32,12.91,4.59,5.36,7.64,3.23,2.05,0.14,0.14,0.14,0.18,5.0,0.05,0.09,3.73,0.41,1.09,18.32,1.05,3.95,0.0,0.0,7.41,5.91,0.95,43
8781,146.35,0.67,60.74,34.37,5.23,3.83,2.53,0.42,0.52,0.26,0.07,0.02,1.4,3.68,4.0,8.07,2.61,1.66,0.81,1.49,0.68,7.35,0.41,6.94,3.94,0.82,4.91,1.84,6.9,4.12,1.74,0.14,0.2,0.25,5.74,0.26,0.54,0.16,0.14,11.31,3.96,1.26,1.81,2.24,1.77,1.86,2.88,1.17,0.68,0.31,1.66,0.36,0.46,0.09,0.84,6.07,1.88,1.43,2.3,0.88,0.54,4.16,0.81,0.71,0.92,1.72,10.83,3.58,4.77,5.6,2.6,1.78,0.46,0.26,0.23,0.23,4.83,0.18,0.63,3.28,0.27,0.87,19.69,1.39,1.4,0.0,0.0,2.73,14.17,1.57,44
